Fecha,Reunion,Carrera,Hora,Premio,Distancia,Superficie,Tipo,Numero,Ejemplar,Peso,Jinete
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,13,MATE AMARGO,57,BASTIAN SOTO
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,14,CAMELOT,53,RODOLFO FUENZALIDA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,15,ALTO FOREVER,55,HUGO OCHOA
07/12/2025,81,14,19:47,FIGURATE TU,1000m,Pasto,Handicap,16,REINA EGIPCIA,53,AGUSTIN VILLAGRA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,1,MANKIND,57,RODRIGO PAINEN
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,2,ACLIS,57,JOSE PAREDES
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,3,YO SOY YI,56,GERARD RODRIGUEZ
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,4,PEDRINHO,54,JORGE A. MORA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,5,SISI STAR,54,DIEGO CARRASCO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,6,QUIEN ME PILLO,55,FELIPE HENRIQUEZ
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,7,MECEDOR,56,WLADIMIR QUINTEROS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,8,TANGERINE TANGO,55,ANDRES CASTILLO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,9,PRIMA TOWN,57,VICTOR BRACETTI
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,10,FUEGO Y HIERRO,56,GUSTAVO AROS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,11,SASSI,55,BENJAMIN TRONCOSO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,12,PLANETA FELIZ,56,RODRIGO COVARRUBIAS
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,13,BOMBASTICO,57,JONATHAN A. CASTILLO
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,14,VUELVE LA FARRA,54,HUGO OCHOA
07/12/2025,81,15,20:19,FIJADERA,1200m,Arena,Handicap,15,BEHIND THE SUN,55,RODOLFO FUENZALIDA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,1,SABIO MENTOR,58,PEDRO ROBLES
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,2,CHINITA TRAVIESA,58,PIERO REYES P.
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,3,ARTHUR SHELBY,55,RODRIGO PAINEN
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,4,KORPER,54,NICOLAS MOLINA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,5,QUICOTE,54,DARIEN CHEUQUE
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,6,COSE DELLA VITA,54,WLADIMIR QUINTEROS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,7,TWEETY,56,FRANCISCO MORALES
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,8,JUNO,54,SEBASTIAN GONZALEZ
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,9,EL KING,56,BENJAMIN AYALA
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,10,REY DEL ESTERO,56,BENJAMIN TRONCOSO
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,11,EL CURICANO,54,GERARD RODRIGUEZ
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,12,A MI EDAD DIFICIL,55,RODRIGO COVARRUBIAS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,13,QUEEN TIGER,58,RAFAEL CISTERNAS
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,14,RUCIA DEL DOC,54,JESUS TORO
07/12/2025,81,16,20:50,FEBO APOLO,1200m,Arena,Handicap,15,REO POR LINDO,55,JONATHAN A. CASTILLO
