Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
6,11,20:00,1100,3,7,Un Gran Penquista,Fantasmagorico,460,56,G. Vera,Eduardo González S.,Guillermón,2.90
6,11,20:00,1100,4,6,Fray Leon,Awesome Patriot,450,56,J. Barril,Ercira Alarcón J.,Carliti,2.60
6,11,20:00,1100,5,11,Reina Filete,Exaggerator,436,56,J.A. Campos,Raul Vasquez O.,Papito Pirulo,14.50
6,11,20:00,1100,6,2,Gandhi Report,Annual Report,480,56,J.A. Inostroza,Hector Arteaga Ch.,Ferjo,5.90
6,11,20:00,1100,7,10,Alashdi,Magnifi Cat,454,56,L. Rojas,Carlos Córdova A.,Danpoch,6.50
6,11,20:00,1100,8,5,Piazza Di Roma,Daddy Long Legs,490,56,G. Pereda,Hector Arteaga Ch.,Mia Rosa,9.40
6,11,20:00,1100,9,9,Mooloomba,Hiraboku Deep,404,56,J.P. Torres,Eduardo González S.,Silencio,26.80
6,11,20:00,1100,10,4,I Am Blacklist,Hold Me Back,476,56,C. Cordero,Carlos Córdova A.,Janira Elgueta,56.00
6,11,20:00,1100,11,8,Mi Barco Velero,Exaggerator,441,56,C. Pavez,Nelson Norambuena B.,Vitacare,48.80
6,12,20:30,1100,1,6,Suricata,Exaggerator,509,57,C.A. Rojas,Raul Vasquez O.,Raul Vasquez Ogalde,5.20
6,12,20:30,1100,2,3,Huichamilla,Boboman,508,57,L. Rojas,Carlos Córdova A.,Petanzo,4.70
6,12,20:30,1100,3,1,El Tatuado,Exaggerator,489,57,J.P. Torres,Julio Espinosa N.,America,3.40
6,12,20:30,1100,4,10,Bumpy,Dylan Thomas,467,57,G. Vera,Nelson Norambuena B.,Vitacare,5.10
6,12,20:30,1100,5,12,Pumara,Good Samaritan,494,55,V. Mardones,Alex Cea S.,Mor Valdes,10.30
6,12,20:30,1100,6,7,The Real Fafa,Strong Mandate,535,55,C. Cordero,Joan Amaya H.,Sueños de Familia,22.20
6,12,20:30,1100,7,9,Happy Go Lucky,Dylan Thomas,511,56,C. Pavez,Armando Navarrete B.,El Gran Yo Soy,11.30
6,12,20:30,1100,8,4,Astroazurro,Good Samaritan,473,56,M. Urzúa,Ercira Alarcón J.,Equinpower,22.90
6,12,20:30,1100,9,11,Triuquiño,Exaggerator,431,56,J.A. Campos,Francisco Acevedo R.,Matoto Tomitomi,73.10
6,12,20:30,1100,10,2,Andiamo Bambino,Grand Daddy,528,56,J.A. Inostroza,Carlos Córdova A.,Danpoch,51.30
6,12,20:30,1100,11,8,Good Victory,Good Samaritan,432,56,A. Pereda,Carlos Norambuena B.,El Alce,4.70
6,12,20:30,1100,12,5,Stormy Dubai,Dubai Sky,412,56,B. Cordero,Francisco Acevedo R.,Jose Paredes,35.10
