fecha,hipodromo,nro_carrera,hora,premio,distancia,superficie,numero,caballo,padrillo,peso,jinete,preparador
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,1,PERFIDE,Ivan Denisovich,55,A. Varas,R. Rojas S.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,2,MI JARDIN,Robert Bruce,55,3 F. Medina-,Fco. Pinochet P.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,4,SEÑORA RITA,The Lumber Guy,55,R. Fuenzalida,M. Velarde B.
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,6,INARI,Flameaway (Can),55,3 N. Molina (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,7,MINX,Alfonso (Usa),55,3 Js. Villablanca,M. Velarde B. D E B U T A
2026-02-09,Club Hípico de Santiago,2,13:28,TUMBLE STORY,1000,Arena,11,LIORA,Dangerous Midge,55,3 D. Carrasco (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,1,TAMBERI,The Lumber Guy,58,3 F. Medina-,Js. Alvarez D.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,2,NAMRUD TIGER,Handsome Tiger,54,3 R. Cisternas,Jn. Cavieres A.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,3,GUACHACA,Robert Bruce,54,3 D. Cheuque-,D. Contreras A.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,5,THE LAWYER,The Lumber Guy,58,3 R. Fournet-,Cr. Urbina R.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,6,GOLD DADDY,Grand Daddy,58,Seb. Gonzalez,J. C. Pichara J.
2026-02-09,Club Hípico de Santiago,3,13:56,TORO NANO,1000,Arena,7,PIBE CANTINA,Flameaway (Can),54,3 B. Sancho,Js. Inda De La C.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,1,A TODO VAPOR,Classic Empire (U,55,3 Gvo. Aros,A. Fernandez L.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,3,KANDOZI,Ivan Denisovich,58,5 F. Henriquez,R. Montesino S.183cP
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,5,BLUE FOR EVER,Classic Empire (,53,3 H. Ochoa,R. Sanchez Q.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,7,A MI MODO,Seeking The Dia,56,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,4,14:24,SOUL CAFE,1300,Pasto,8,TIGRO (ARG),Mastercraftsman,59,T. Seith,C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,4,TEN PLUS ONE,Palm Springs (Usa,57,3 Js. Cueto,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,5,TRASCATRASCA,Bad Daddy,57,Joh. Gonzalez,Js. Inda De La C.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,7,ELSEBAAHORRATODO,Katmai,57,3 D. Cheuque-4 (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,8,LUQUITAS,Spun To Run (Usa),57,B. Sancho,Cl. Bernal G.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,9,ERKAN,Flameaway (Can),57,3 N. Molina (Ap),T. Cachely
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,10,FLY STELLAS,Flyer,57,L.,C. Gonzalez O. Martinez L
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,11,CAREMECHE,Il Rey Ivan,57,F. Taun,R. Serrano G.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,12,EL SALVADOR,International Star,57,3 V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,13,KILAN,Viscount Nelson,57,M.,A. Donoso Fco. Pinochet P
2026-02-09,Club Hípico de Santiago,5,14:54,TORTOLITO,1000,Arena,14,CHARLY CHARLY,Lookin At Lucky,57,3 Seb. Gonzalez (Ap),J. Silva B.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,1,FLIGHT OF ICARUS,Midshipman,54,4 L.,C. Gonzalez S. Morales G.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,2,BEST PLAYER,Cupid,59,R. Fuenzalida,R. Silva S.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,3,MILTEO,Dubai Sky,60,N. Santibañez,Cr. Urbina R.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,4,LA MARRE,Seeking The Dia,54,4 Seb. Gonzalez (Ap),Js. Araya B.205h
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,5,SACANNE,Mendelssohn (Usa),53,R. Cisternas,J. Orellana R.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,6,INDIAN POET,Constitution,61,7 M. Chamorro,R. Montesino S.304cA
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,7,MR YO,Mr Speaker,59,R.,S. Dores C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,8,EL GRIEGO,Katmai,56,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,6,15:21,TASTE,1400,Arena,10,HARRY GO,Cunco (Ire),57,P. Robles,J. Pinochet P.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,1,LARRYKANE,Practical Joke,55,J.,A. Miño W. Ara D.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,2,NA NI NA,Competitive Edge,58,R.,S. Dores D. Matte D.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,3,DON MATIAS,Hinz,58,T. Seith,O. Martinez L.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,4,CELTIC DAD,Robert Bruce,54,J. Medina,P. Baeza A.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,6,ZALAVERRY,Viscount Nelson,60,V. Miranda,A. Padovani E.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,7,SOS DE BOCA,Robert Bruce,58,L. Torres,C. Gonzalez M.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,8,FREUD WISH,Mr Speaker,56,W. Quinteros,C. Garcia V.
2026-02-09,Club Hípico de Santiago,7,15:48,TATAN ROYALE,1400,Arena,9,STATE OF GRACE,State Of Play,57,6 Jr.,A. Gonzalez C. Gonzalez M
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,1,MITOU,Good Samaritan (Usa),53,N. Ramirez,M. Rabajille D.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,4,LA DICHA,Good Samaritan (Usa),52,4 I. Valdivia,G. Aguirre A.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,5,ANALOGO,Until Sundown,51,A. Vasquez,M. Perez A.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,6,HIJO DEL TUTO,Grand Daddy,59,4 L. Torres (Ap),Js. Araya B.
2026-02-09,Club Hípico de Santiago,8,16:15,PORFIDO,1600,Arena,8,KAREV,Constitution,53,J. Medina,P. Baeza A.
