Carrera,Lugar,Partida,Caballo,Padrillo,Stud,PF,Jinete,Peso Jinete,Preparador,Distancia (cpos.),Índice,Dividendo
10,11º,3,CHIVARO,CONSTITUTION,FRANCIA,"422Kg",BASTIAN SOTO,55 Kg,JOSE ARAYA B.,"14 1/2 cpos.",12,5.8
10,12º,7,CONDESSA LAK,GSTAAD II,ALONMATE,"490Kg",RODRIGO PAINEN,57 Kg,MANUEL VELARDE,"14 1/2 cpos.",14,24.9
11,1º,1,INDIAN POET,CONSTITUTION,BRUNO ALONSO,"503Kg",MAURICIO CHAMORRO,58 Kg,RAUL MONTESINO,Ganador,16,9.3
11,2º,7,PAROLACCIA,WAR COMMAND,KDM,"500Kg",NICOLAS RAMIREZ,57 Kg,GABRIEL MELEJ,"4 1/4 cpos",19,3.7
11,3º,4,DOCTORA MILAGRO,GOOD SAMARITAN (USA),MILLONARIO,"481Kg",HUGO OCHOA,54 Kg,DOMINGO MATTE,"4 3/4 cpos.",16,6.3
11,4º,5,GRAN KURU,EXAGGERATOR,SANTICO,"511Kg",JONATHAN A. CASTILLO,56 Kg,ALDO PARRA D.,"5 1/2 cpos.",18,3.2
11,5º,3,DUNHILL SMOKE,CUPID,BRUNO ALONSO,"472Kg",RAFAEL CISTERNAS,53 Kg,RAUL MONTESINO,"5 1/2 cpos.",16,31.6
11,6º,6,SABIO MENTOR,IMPERIA II,MILLAR M PATRICIO,"468Kg",RODRIGO PAINEN,54 Kg,JOHN PINOCHET,"6 1/4 cpos.",16,8.7
11,7º,8,SIN PREJUICIOS,GOOD SAMARITAN (USA),LOS CABEZAS ALVAREZ,"447Kg",JORGE A. GONZALEZ,57 Kg,RAUL MONTESINO,"10 1/4 cpos.",19,8.3
11,8º,9,MISTER HEAD,DYLAN THOMAS,MARITA,"550Kg",JESUS TORO,54 Kg,ALDO PARRA D.,"14 cpos.",17,8
11,9º,2,REY ESCOCES,LOOKIN AT LUCKY,RIO QUILIMARI,"502Kg",JOAQUIN HERRERA,58 Kg,JUAN RODRIGUEZ R.,"22 1/4 cpos.",21,4.9
12,1º,7,PAPUDO CHROME,CALIFORNIA CHROME,GARAGE JCS,"463Kg",VICTOR MIRANDA,58 Kg,OSCAR SILVA S.,Ganador,28,4.6
12,2º,2,SOS DE BOCA,ROBERT BRUCE,CHARITO,"462Kg",KEVIN ESPINA,59 Kg,CRISTOBAL GONZALEZ M.,"1 3/4 cpos.",30,2.4
12,3º,5,FRAGMENTADO,DUBAI SKY,AMAPOLAS,"463Kg",NICOLAS MOLINA,57 Kg,RODRIGO QUIROZ,"3 1/2 cpos.",26,9.4
12,4º,3,FORBES,MALAGACY,MILLAR M PATRICIO,"550Kg",JORGE VERA,55 Kg,CLAUDIO BERNAL,"4 1/4 cpos",24,12.9
12,5º,9,FREUD WISH,MR SPEAKER,JUANITO ELSITA,"486Kg",WLADIMIR QUINTEROS,56 Kg,CARLOS GARCIA,"6 cpos.",25,15.1
12,6º,6,EL CASTI,CLOUD COMPUTING,BARROS NEGROS,"497Kg",JORGE ZUÑIGA,53 Kg,DOMINGO MATTE,"8 1/4 cpos.",22,19.2
12,7º,1,CI MANCHI FRATELO,INTERNATIONAL STAR (USA),REY SANTINO DIEZ,"460Kg",RAFAEL CISTERNAS,53 Kg,JOSE ARAYA B.,"9 cpos.",22,8
12,8º,4,EL ARRUGAO,DISTORTED ECONOMY,EL AROMO,"465Kg",RODOLFO FUENZALIDA,55 Kg,HECTOR MANRIQUEZ,"9 1/4 cpos.",24,11.2
12,9º,8,STORM TIGER,EXAGGERATOR,CHOLITO,"484Kg",RODOLFO S. DORES,58 Kg,ALVARO FERNANDEZ,"17 cpos.",28,3.3
13,1º,8,ENTRE NEGROS,CLASSIC EMPIRE (USA),DOÑA SOFIA,"458Kg",OSCAR ULLOA,57 Kg,PATRICIO BAEZA A.,Ganador,-,2.1
13,2º,11,A TODO VAPOR,CLASSIC EMPIRE (USA),CHOLITO,"491Kg",JESUS TORO,57 Kg,ALVARO FERNANDEZ,Cbza.,-6.1
13,3º,7,EL ATREVIDO,SPUN TO RUN (USA),GARAGE JCS,"444Kg",RODOLFO FUENZALIDA,57 Kg,OSCAR SILVA S.,"3 1/2 cpos.",-33.4
13,4º,2,CHIVAGGO,LOOKIN AT LUCKY,STUD LA NONNA LTDA.,"495Kg",JORGE A. GONZALEZ,57 Kg,JULIO ORELLANA,"4 cpos.",-3.6
13,5º,12,EL NANY,FLAMEAWAY (CAN),DAMYANTO,"441Kg",PEDRO ROBLES,57 Kg,JOHN PINOCHET,"4 1/2 cpos.",-54
13,6º,4,MUY ADMIRADO,ADMIRAL,MAULINO,"495Kg",GERARD RODRIGUEZ,57 Kg,JOAO CASTILLO L.,"5 1/2 cpos.",-11.2
13,7º,14,JOHN DUTTON,ROBERT BRUCE,LIGURIA,"470Kg",HUGO OCHOA,57 Kg,RODRIGO SANCHEZ,"6 1/4 cpos.",-5.9
13,8º,3,PISANELLO,CLASSIC EMPIRE (USA),VINCERE,"449Kg",IGNACIO VALDIVIA,57 Kg,PATRICIO BAEZA A.,"7 1/2 cpos.",-21.6
13,9º,9,LUSSO,LOOKIN AT LUCKY,DOÑA LILI,"531Kg",RAFAEL CISTERNAS,57 Kg,CARLOS RABY,"8 1/4 cpos.",-42.3
13,10º,10,GRANDE TATA REY,CUNCO (IRE),TATA REY,"429Kg",SEBASTIAN GONZALEZ,57 Kg,RODRIGO QUIROZ,"9 3/4 cpos.",-29.6
13,11º,5,LUPO CATTIVO,LOOKIN AT LUCKY,TOBE,"459Kg",JAIME MEDINA,57 Kg,CARLOS RABY,"11 1/2 cpos.",10,16.8
