Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
16,2,6,CAMELOT,INTERNATIONAL STAR (USA),CHARITO,442,JOSE VILLABLANCA,56,CRISTOBAL GONZALEZ M.,1 3/4 cpos.,8,24.6
16,3,2,CASUAL VISION,VISION AND VERSE,MATTE D. DOMINGO,432,RODOLFO S. DORES,55,DOMINGO MATTE,2 1/4 cpos,7,7.5
16,4,1,MI JOYA,KATMAI,HERMANOS DIAZ,468,FRANCISCO MORALES,56,RAUL MONTESINO,3 1/4 cpos.,8,3.8
16,5,7,QUICOTE,VISCOUNT NELSON,MILNA,494,LESLY C. GONZALEZ,56,FELIPE GONZALEZ S.,3 1/2 cpos.,8,18.1
16,6,11,COSE DELLA VITA,INTERNATIONAL STAR (USA),ENERGIA,-,ALVARO APABLAZA,57,ALEXIS PEREZ,5 1/4 cpos.,9,19.8
16,7,8,MANKIND,GOLDENCENTS,FACUNDO SANTIAGO,434,RODRIGO PAINEN,55,HECTOR MANRIQUEZ,6 1/4 cpos.,7,18.1
16,8,4,BEHIND THE SUN,PATTERNRECOGNITION,GARAGE JCS,400,RODOLFO FUENZALIDA,57,FELIPE GONZALEZ S.,6 3/4 cpos.,9,19
16,9,12,NEL BLU,CONSTITUTION,MASCOTTA,430,MIGUEL GUTIERREZ,55,CLAUDIO BERNAL,7 3/4 cpos.,7,5.7
16,10,9,ASTRO SOL,GOOD SAMARITAN (USA),LOS MAGUITOS,465,NICOLAS SANTIBAÑEZ,56,ALDO PARRA D.,8 cpos.,8,9.4
16,11,3,BLUE KENTUCKY GIRL,AWESOME PATRIOT,EL AGUILA,414,WILBERT LEON,56,GENARO COVARRUBIAS,13 3/4 cpos.,8,13.9
16,12,5,EL BOHEMIO,MIDSHIPMAN,OLIMPIC BLUE,454,BENJAMIN TRONCOSO,56,ALEJANDRO PADOVANI E.,14 1/4 cpos.,8,13.9
16,RT,13,GENESIS,CUNCO (IRE),EL MERO MERO,-,BASTIAN SOTO,57,JOSE ARAYA B.,-,-9,-
17,1,1,VUELA EL AMOR,GEMOLOGIST,MONIQUE,468,CRISTIAN FUENZALIDA,57,ANGEL JAQUE S.,Ganador,11,14.7
17,2,8,LONCO BRAVO,EL HUEÑE,LOS PINCHEIRA,451,JOAQUIN HERRERA,56,GABRIEL MELEJ,3/4 cpos.,10,3.3
17,3,14,VERSERO,GRAND DADDY,SANTA VERONICA,463,WILBERT LEON,57,PATRICIO VALDERRAMA C.,2 1/4 cpos,11,25.3
17,4,6,TERCIADOR,CLASSIC EMPIRE (USA),SAVKA HERMANOS,498,PIERO REYES P.,57,HECTOR MANRIQUEZ,2 1/2 cpos.,11,4.6
17,5,12,PATMAHO,GRAND DADDY,BENVIC,523,BASTIAN SOTO,56,JOSE ARAYA B.,3 3/4 cpos.,10,6.9
17,6,5,TWEETY,VISCOUNT NELSON,BUREO,369,FRANCISCO MORALES,57,ROBERTO TOLEDO M.,4 3/4 cpos.,11,9.9
17,7,2,GRAN KURU,EXAGGERATOR,SANTICO,500,LESLY C. GONZALEZ,56,ALDO PARRA D.,5 1/2 cpos.,10,4.7
17,8,4,BESOS DE MIEL,FLAMEAWAY (CAN),LOS BRUJOS,423,BENJAMIN SANCHO,57,THEODORE CACHELY,7 1/2 cpos.,11,7.1
17,9,15,ARTHUR SHELBY,GRAND DADDY,EL MERO MERO,447,RODRIGO PAINEN,57,JOSE ARAYA B.,8 1/2 cpos.,11,13
17,10,13,EMA COOCK,NEWFOUNDLAND,MANOJITOS,430,DIEGO CARRASCO,57,THEODORE CACHELY,11 3/4 cpos.,11,129.7
17,11,10,NOTORIOUS LOVER,CUPID,MATTE D. DOMINGO,445,GIVOVICH GEORGEE,57,DOMINGO MATTE,11 3/4 cpos.,11,86.1
17,12,3,SOY EL CANTANTE,PATTERNRECOGNITION,SUPER SUPER,508,LUIS GONZALEZ,57,RODRIGO SANCHEZ,15 1/4 cpos.,11,14.5
17,13,7,EL SOM CENTAURO,IRON CLAD,MIS DOS AMORES,452,RODRIGO COVARRUBIAS,56,ALEXIS PEREZ,16 1/2 cpos.,10,40
17,14,9,REY HOTU,MO TOWN,AIMANI,434,CARLOS ORTEGA,57,PATRICIO LOPEZ,21 cpos.,11,45.2
17,RT,11,EL CURICANO,GRAND DADDY,SAVKA HERMANOS,-,LUIS RIVERA,57,HECTOR MANRIQUEZ,-,-11,-
18,1,8,MAGUIRE,MO TOWN,LEGACY,528,RODRIGO PAINEN,54,JOSE ARAYA B.,Ganador,20,6.2
18,2,7,WEST PALM BEACH,KINGLY (USA),FRENCH POTATO,490,JORGE ZUÑIGA,55,JOSE T. ALLENDE,1 cpo.,21,8.8
18,3,6,KUAI MA,ROBERT BRUCE,TATA CHITO,471,FELIPE HENRIQUEZ,57,SERGIO MORALES,2 1/2 cpos.,23,21.4
