Carrera,Lugar,Partida,Caballo,Padrillo,Stud,Peso_kg,Jinete,Peso_Jinete_kg,Preparador,Distancia,Indice,Dividendo
17,5,2,SISI STAR,MENDELSSOHN (USA),LOS CABEZAS ALVAREZ,421,ROBERTO AVILA,56,RAUL MONTESINO,6 3/4 cpos.,6,74
17,6,11,LA SIGUIENTE,EXAGGERATOR,CINCAR,468,SEBASTIAN GONZALEZ,55,HECTOR MANRIQUEZ,7 1/2 cpos.,5,7.1
17,7,5,TAKE A NAP,DADDY LONG LEGS,LUISA GIOVANNA,456,HUGO OCHOA,57,RODRIGO SILVA S.,7 1/2 cpos.,7,44
17,8,15,NONA BLANCA,KATMAI,ROGER WELLMANN H.,452,JESUS TORO,55,JOSE ARAYA B.,7 3/4 cpos.,5,5
17,9,12,GUSTO A POCO,GOOD SAMARITAN (USA),MONTESINO S. RAUL,397,MAURICIO CHAMORRO,57,RAUL MONTESINO,9 1/2 cpos.,7,8.3
17,10,6,BENVENUTO CELLINI,RYDILLUC,MONIN,494,BASTIAN SOTO,55,FERNANDO SOLAR,10 1/4 cpos.,5,8.6
17,11,9,SEE YOU AGAIN,GOOD SAMARITAN (USA),POR TI NEGRITA,506,LESLY C. GONZALEZ,56,FELIPE GONZALEZ S.,10 1/4 cpos.,6,48.6
17,12,7,MAKINEN,CLOUD COMPUTING,ROBLEDO'S,427,RONALD FOURNET,57,JUAN RODRIGUEZ R.,10 3/4 cpos.,7,11.7
17,13,3,TE DIGO ALGO,EXAGGERATOR,MAR Y SOL,454,NICOLAS MOLINA,56,CLAUDIO BERNAL,11 cpos.,6,11.3
17,14,8,LATEN GOOD,GOOD SAMARITAN (USA),PERALTA P GUILLERMO,443,BENJAMIN SANCHO,56,GUILLERMO PERALTA,11 1/2 cpos.,6,15.8
17,15,13,JARDIN OLVIDADO,EXAGGERATOR,SAGARDIA HNOS.,484,MOISES A. DONOSO,57,OSCAR SILVA G.,14 1/2 cpos.,7,62.3
18,1,10,NEOLIBERAL,PRACTICAL JOKE,GUERRERO DE LA VIDA,429,FRANCISCO MORALES,55,RAUL MONTESINO,Ganador,8,12
18,2,5,EL CURICANO,GRAND DADDY,SAVKA HERMANOS,440,GERARD RODRIGUEZ,57,HECTOR MANRIQUEZ,1 3/4 cpos.,15,6.5
18,3,8,BERGERAC (ARG),ROMAN RULER (P),MADINAT,466,BENJAMIN AYALA,56,MIGUEL MEDINA,3 1/2 cpos.,9,23.1
18,4,9,DEAR SISTER,MO TOWN,SOBARZO DE G MONICA,445,RODOLFO S. DORES,56,FELIPE GONZALEZ S.,6 cpos.,9,12.8
18,5,3,HUACARNECO,MAYAKOVSKY,BARTI,479,SEBASTIAN GONZALEZ,56,FRANCISCO PINOCHET,6 cpos.,9,9.5
18,6,6,VUELA EL AMOR,GEMOLOGIST,MONIQUE,477,BENJAMIN SANCHO,56,ANGEL JAQUE S.,6 3/4 cpos.,9,12.6
18,7,12,ASTRO SOL,GOOD SAMARITAN (USA),LOS MAGUITOS,459,JESUS TORO,56,ALDO PARRA D.,7 1/4 cpos.,9,56.6
18,8,4,JUNO,CLASSIC EMPIRE (USA),C.H.C.,473,BENJAMIN TRONCOSO,57,HERNAN ULLOA,8 cpos.,17,2.4
18,9,2,EL VISIR,CLASSIC EMPIRE (USA),BENGO,444,BASTIAN SOTO,56,JOSE ARAYA B.,8 1/2 cpos.,9,4.6
18,10,7,ACHAPLINA,SEEKING THE DIA,PEÑA P. WALESKA,407,LESLY C. GONZALEZ,56,WALESKA PEÑA,9 cpos.,9,50.3
18,11,14,TOWN OF TREBBI,MO TOWN,EL MERO MERO,481,FELIPE HENRIQUEZ,55,SERGIO MORALES,10 1/4 cpos.,8,24.1
18,12,11,SIR WALLANCE,HOLD ME BACK,TRANSPORTES MENDEZ,535,VICTOR MIRANDA,55,ALEJANDRO PADOVANI E.,13 1/2 cpos.,8,6.4
18,13,13,UNDER THE LIGHT,MENDELSSOHN (USA),TORRES,421,ROBERTO AVILA,57,RAUL MONTESINO,15 cpos.,10,37.3
18,14,1,SCROOGE,LOOKIN AT LUCKY,LOS CASTILLO,489,JORGE VERA,56,JOAO CASTILLO L.,38 cpos.,9,132.4
19,1,12,BABY YODA,FLYER,MILLAR M PATRICIO,516,PEDRO ROBLES,58,JOHN PINOCHET,Ganador,25,5.4
19,2,8,ALE GUAPA,CUPID,MATTE D. DOMINGO,483,RODOLFO S. DORES,56,DOMINGO MATTE,1 1/4 cpos.,23,5.5
19,3,6,PUNTA ITATA,ZAWRAQ (IRE),CHARITO,469,FELIPE HENRIQUEZ,55,CRISTOBAL GONZALEZ M.,1 3/4 cpos.,22,17.3
19,4,5,KUAI MA,ROBERT BRUCE,TATA CHITO,471,NICOLAS RAMIREZ,57,SERGIO MORALES,2 3/4 cpos.,24,5.9
19,5,7,CAROLITO,CLASSIC EMPIRE (USA),CHARITO,447,MIGUEL GUTIERREZ,57,CRISTOBAL GONZALEZ M.,3 cpos.,30,8.3
19,6,14,MR NUTS,MR SPEAKER,POR TI PAPA,460,JOAQUIN HERRERA,54,JUAN C. SILVA S.,3 1/4 cpos.,24,5.1
19,7,13,SCALPING,GOOD SAMARITAN (USA),EL VEINTITRES,437,JAIME MEDINA,58,CLAUDIO BERNAL,3 1/4 cpos.,25,11.4
19,8,9,BESO AL CIELO,GRAND DADDY,LEGACY,499,RODRIGO PAINEN,55,JOSE ARAYA B.,4 1/2 cpos.,22,8.9
19,9,1,OBRA DE ARTE,CUPID,MATTE D. DOMINGO,463,WLADIMIR QUINTEROS,55,DOMINGO MATTE,7 cpos.,22,23.4
19,10,4,BENIBLU,CLASSIC EMPIRE (USA),VEINTISEIS,473,GUSTAVO AROS,58,ALEJANDRO PADOVANI E.,8 cpos.,25,4.6
19,11,2,COLOR DE SUEÑO,GRAN VILLANO,ALBEZA,501,NICOLAS MOLINA,55,DOMINGO MATTE,9 1/4 cpos.,22,19.6
19,12,11,TENGO UN SUEÑO,GOOD SAMARITAN (USA),HERMANOS DIAZ,429,BENJAMIN SANCHO,56,RAUL MONTESINO,13 3/4 cpos.,22,60.3
