Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
7,5,14:11,1500m,3°,2,No Me Dice Nada,Dangerous Midge,414k,53k,N. Rojas,Claudio Bernal G.,Masaiva,30.90
7,5,14:11,1500m,4°,3,Zulthan,Classic Empire,467k,57k,M. Galáz,Jaime Espineira C.,Jaime Espiñeira C.,8.90
7,5,14:11,1500m,5°,4,Sueños De Leon,Tapitdoro,470k,53k,F. Medina,Julio Castillo D.,Clauseb,6.30
7,5,14:11,1500m,6°,5,Yeseraye,Tapitdoro,504k,57k,S. Muñoz,Julio Castillo D.,Clauseb,44.80
7,5,14:11,1500m,U°,6,Stavos,Lookin At Lucky,487k,57k,A. Covarrubias,Mario Covarrubias,Doña Ester,22.90
7,6,14:36,1000m,1°,2,Black Hole,Mendelssohn,470k,57k,A. Varas,Oscar Donate S.,Guillermo Cordova T.,4.70
7,6,14:36,1000m,2°,1,Ampuero,International Star,452k,57k,G. Aros,Rodrigo Quiroz S.,Malcib,7.70
7,6,14:36,1000m,3°,3,Macallan,Spun to Run,480k,53k,N. Rojas,Alejandro Padovani E.,Haras las Camelias,3.40
7,6,14:36,1000m,4°,8,Kraven,Dubai Sky,494k,53k,F. Medina,Rodrigo Quiroz S.,Lost Vera,2.70
7,6,14:36,1000m,5°,9,Dalo Por Hecho,Spun to Run,450k,53k,R. Fournet,Carlos Urbina H.,Xeneixe,4.00
7,6,14:36,1000m,6°,7,Aston,Ivan Denisovich,461k,57k,J. González,Mario A. Apablaza G.,Cabritis,14.40
7,6,14:36,1000m,7°,6,Bravo Torero,Flameaway,468k,57k,B. Troncoso,Eugenio Switt V.,Carlos Cavieres,55.90
7,6,14:36,1000m,8°,4,Gran Horus,Grand Daddy,442k,57k,V. Miranda,Alejandro Padovani E.,Gaona Hermanos,13.30
7,6,14:36,1000m,U°,5,Guachaca,Robert Bruce,406k,57k,M. Galáz,Daniel Contreras A.,Abuela Oca,33.90
7,7,15:02,1200m,1°,6,Silverchair,Papelon,406k,56k,A. Covarrubias,Oscar Donate S.,Redbros,7.40
7,7,15:02,1200m,2°,1,Waquar,Gemologist,517k,57k,T. Seith,Pedro Diaz S.,Los Jeques,8.10
7,7,15:02,1200m,3°,7,Gran Nono,Strong Mandate,534k,56k,A. Morales,Genaro J. Covarrubias E.,La Corina,5.50
7,7,15:02,1200m,4°,3,Tata Moncho,Good Samaritan,434k,54k,S. González,Rodrigo Quiroz S.,Los Bello,6.20
7,7,15:02,1200m,5°,12,Ya Lo Creo,Hootenanny,377k,55k,P. Zúñiga,Julio Castillo D.,Sapito,49.80
7,7,15:02,1200m,6°,9,Miss Levalamat,Indian Trail,469k,55k,B. Rubilar,Rafael Bernal G.,Doña Nani,27.30
7,7,15:02,1200m,7°,4,Rosario Tijera,Sposito,454k,55k,W. Quinteros,Oscar Donate S.,Bon Touch,24.50
7,7,15:02,1200m,8°,5,Shayla,Boboman,465k,55k,J. González,Mario A. Apablaza G.,Cabritis,36.50
7,7,15:02,1200m,9°,2,Hagale Hagale,Patternrecognition,430k,56k,I. Vargas,Mario A. Apablaza G.,Raices De Codegua,30.50
7,7,15:02,1200m,10°,13,Soy Enriqueta,State Of Play,480k,56k,G. Aros,Alejandro Padovani E.,Mameza,27.50
7,7,15:02,1200m,11°,14,Pombito,Constitution,463k,57k,H. Ochoa,Juan C. Pichara J.,El Mero Mero,4.50
7,7,15:02,1200m,12°,11,Don Picho,Mr Speaker,420k,55k,M. Galáz,Jaime Espineira C.,Santa Corina,7.00
7,7,15:02,1200m,13°,8,Temaukel,Bad Daddy,475k,55k,N. Santibañez,Claudio Bernal G.,Viejo Moño,29.20
