Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
2,13:28,TUMBLE STORY,1000,ARENA,9,MY LITTLE GIRL,55,O. E. Silva G.,B. Soto,"MEGA SPF / DOBLE / MEGATRIP N°1 ETP 2"
2,13:28,TUMBLE STORY,1000,ARENA,10,NORITA ROMATICA,55,Cr. Urbina R.,R. Cisternas,"MEGA SPF / DOBLE / MEGATRIP N°1 ETP 2"
2,13:28,TUMBLE STORY,1000,ARENA,11,LIORA,55,T. Cachely,D. Carrasco,"MEGA SPF / DOBLE / MEGATRIP N°1 ETP 2"
3,13:56,TORO NANO,1000,ARENA,1,TAMBERI,58,F. Medina,Js. Alvarez D.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,2,NAMRUD TIGER,54,R. Cisternas,Jn. Cavieres A.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,3,GUACHACA,54,O. Cheuque,D. Contreras A.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,4,THE DIFFERENT,54,H. Ochoa,R. Sanchez Q.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,5,THE LAWYER,58,R. Fournet,Cr. Urbina R.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,6,GOLD DADDY,58,Seb. Gonzalez,J. C. Pichara J.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,7,PIBE CANTINA,54,B. Sancho,Js. Inda De La C.,"DOBLE / MEGATRIP N°1 ETP 3"
3,13:56,TORO NANO,1000,ARENA,8,SALTO DE AMISTAD,54,N. Ramirez,S. Morales G.,"DOBLE / MEGATRIP N°1 ETP 3"
4,14:24,SOUL CAFE,1300,PASTO,1,A TODO VAPOR,55,Gvo. Aros,C. Raby V.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,2,LADY IN BLACK,58,Jr. A. Gonzalez,C. Raby V.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,3,KANDOZI,58,F. Henriquez,R. Montesino S.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,4,NO PASO AGOSTO,54,N. Molina,Js. Alvarez D.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,5,BLUE FOR EVER,53,H. Ochoa,R. Sanchez Q.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,6,ESTRELLA DEL SOL,59,N. Santibañez,J. Orellana R.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,7,A MI MODO,56,J. Medina,P. Baeza A.,"DOBLE / POLLON"
4,14:24,SOUL CAFE,1300,PASTO,8,TIGRO,59,T. Seith,C. Gonzalez M.,"DOBLE / POLLON"
5,14:54,TORTOLITO,1000,ARENA,1,QUEQUIERENLOSPARAM,57,H. E. Ulloa P.,G. Rodriguez,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,2,CATANZARO,57,Js. Araya B.,R. Bernal G.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,3,BRIAN JOHNSON,57,R. Fournet,M. Rabajille D.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,4,TEN PLUS ONE,57,B. Rubilar,Js. Cueto,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,5,TRASCATRASCA,57,Joh. Gonzalez,Js. Inda De La C.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,6,BIG CARBONCILLO,57,R. Montesino S.,F. Medina,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
5,14:54,TORTOLITO,1000,ARENA,7,ELSEBAAHORRATODO,57,T. Cachely,Cl. Bernal G.,"MEGATRIPLE N°2 $ 10.000.000 / MEGA SUPERFECTA $ 1.000.000"
