Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
15,19:50,TIFONE,1400,ARENA,8,GRAN PIOLA,54,Joh. Gonzalez,Fco. Pinochet P.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,9,LUGA,56,G. Rodriguez,A. Parra D.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,10,VOLANTE MIXTO,56,Seb. Gonzalez,Fco. Faundez LL.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,11,QUE VIVA EL REY,58,N. Ramirez,M. Velarde B.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,12,JAVIVALETU,57,V. Miranda,A. Padovani E.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,13,PESO DORADO,55,R. Fuenzalida,Cl. Navarro A.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,14,CICARELLI,57,A. Morales,G. Covarrubias E.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
15,19:50,TIFONE,1400,ARENA,15,MUY SOLO AQUI,52,N. Molina,Cl. Navarro A.,"TRIPLE DEL DESQUITE $ 28.000.000 / MEGA SUPERFECTA $ 1.000.000"
16,20:25,TODOTERRENO,1000,ARENA,1,SOY EL CANTANTE,55,L. Gonzalez,R. Sanchez Q.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,2,PARTNER QUERIDO,58,B. Sancho,Cl. Bernal G.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,3,BERGERAC,58,Js. Villablanca,M. Medina T.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,4,LA SOÑE,54,L. P. Silva,G. Covarrubias E.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,5,YA MAGICO,54,,G. Covarrubias E.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,6,ANFIELD ROAD,58,J. Toro,A. Fernandez L.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,7,BOY SCOUT,57,R. Loyola,H. Manriquez F.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,8,YO SOY YI,57,Joh. Gonzalez,R. Montesino S.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,9,PETIROSSA,57,N. Molina,M. Velarde B.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,10,SALTARIN,56,N. Ramirez,R. Rojas S.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,11,FREE REIN,58,A. Varas,A. Perez D.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,12,TWO FLAGS,56,F. Sanchez,S. Morales G.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,13,TOWN OF TREBBI,58,P. Reyes,A. Perez D.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,14,SUBI,54,,R. Montesino S.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
16,20:25,TODOTERRENO,1000,ARENA,15,SISI STAR,54,J. Reyes,R. Montesino S.,"DOBLE DEL DESQUITE $ 3.000.000 / MEGA SUPERFECTA $ 2.000.000"
17,21:00,TENER PASION,1000,PASTO,1,LEVERT,55,B. Ayala,L. Machulas G.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,2,MATE AMARGO,57,B. Soto,,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,3,JALONADO,57,M. A. Donoso,Fco. Pinochet P.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,4,MITIO POLO,55,L. C. Gonzalez,E. Carreño R.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,5,EL LEGENDARIO,54,N. Molina,Cl. Bernal G.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,6,DON'T CRY DADDY,57,Js. Cueto,O. E. Silva G.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,7,DON GIORGIO,56,Jr. A. Gonzalez,A. Parra D.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,8,JE T'AIME,55,Joh. Gonzalez,S. Morales G.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,9,HUMAN SOUL,56,P. Reyes,Fco. Faundez LL.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,10,VERSERO,56,J. Medina,P. Valderrama C.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,11,MACRON,57,N. Ramirez,M. Rabajille D.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,12,RAPILLANA,57,M. Chamorro,R. Montesino S.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,13,HIER ANCORE,55,A. Varas,C. Garcia V.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
17,21:00,TENER PASION,1000,PASTO,14,NAHUEN,57,G. Rodriguez,R. Montesino S.,"MEGA SUPERFECTA $ 3.000.000 / TRIFECTA $ 6.000.000"
