reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,8,4,3,BADERO,CLASSIC EMPIRE,ELEPHANT,408,GUSTAVO AROS,59,ALEJANDRO PADOVANI E.,pczo.,34,2.8
87,8,5,4,GRIEZMANN,MASTERCRAFTSMAN,MATTE D. DOMINGO,451,NICOLAS MOLINA,57,DOMINGO MATTE,pczo.,31,5.4
87,8,6,1,GALWAY GIRL,SEEKING THE DIA,SANCHEZ Q. RODRIGO,464,VICTOR MIRANDA,54,RODRIGO SANCHEZ,4 1/2 cpos.,28,16.6
87,8,7,5,PIANTAO,ZAWRAQ,JADADIE,464,RODOLFO S. DORES,60,ANDRES BERNAL,5 3/4 cpos.,36,23.6
87,8,8,2,PAYBACK,VAN NISTELROOY,EL VETERO,463,NICOLAS RAMIREZ,57,LEOPOLDO PARRA,7 1/4 cpos.,31,9.5
87,8,9,7,DESENFRENADO,PRACTICAL JOKE,POR TI NEGRITA,511,LESLY C. GONZALEZ,54,FELIPE GONZALEZ S.,11 1/4 cpos.,28,14.7
87,9,1,1,YA VA,MENDELSSOHN,STUD DOÑA ELIANA,455,JAIME MEDINA,52,PATRICIO BAEZA A.,Ganador,20,1.4
87,9,2,3,ON LOOK,LOOKIN AT LUCKY,STUD MARENGA,434,JOAQUIN HERRERA,54,JULIO ORELLANA,2 1/4 cpos,17,4.7
87,9,3,6,CAMBIA EL SWITCH,MENDELSSOHN,STUD DOÑA ELIANA,450,RAFAEL CISTERNAS,52,JULIO ORELLANA,8 1/2 cpos.,14,4.1
87,9,4,7,SORRISI,LOOKIN AT LUCKY,STUD DOÑA ELIANA,463,BERNARDO LEON,54,PATRICIO BAEZA A.,12 cpos.,18,6.8
87,9,5,2,ROSY L'AMORE,FLAMEAWAY,ESMIRNA,463,GERARD RODRIGUEZ,55,PATRICIO BAEZA A.,15 3/4 cpos.,21,6.8
87,9,RT,5,ADICTIVA,FLAMEAWAY,HARAS CURICHE,0,N.N.,58,GUILLERMO AGUIRRE,Retirado,-27,0
87,9,RT,4,QUIET MOON,MENDELSSOHN,STUD HARAS DON ALBERTO,0,N.N.,52,JORGE A. INDA DE LA C.,Retirado,-14,0
87,10,1,6,FERLUISI,SPUN TO RUN,MUNDO FUTURO H.,449,JOAQUIN HERRERA,57,HERNAN ULLOA,Ganador,14,3.4
87,10,2,7,FRAMING,SEÑOR CANDY,IDENTIC,491,JAIME MEDINA,56,PATRICIO BAEZA A.,1 1/4 cpos.,13,5.8
87,10,3,5,TODAS MIENTEN,CROSS TRAFFIC,EL MERO MERO,410,JOSE PAREDES,57,JOSE ARAYA B.,2 3/4 cpos.,15,34.6
87,10,4,1,JE T'AIME,CUPID,TAMARA AGUSTINA,429,JOHAN GONZALEZ,54,SERGIO MORALES,3 1/4 cpos.,12,18.4
87,10,5,12,BARBIE DREAMS,LAYMAN,VIEJA POLLA,455,GUSTAVO AROS,57,RODRIGO MUÑOZ,3 1/2 cpos.,14,5.4
87,10,6,3,MATE AMARGO,AHORA II,MI CHICA MAÑOSA,434,BASTIAN SOTO,57,JOSE ARAYA B.,3 3/4 cpos.,14,11.7
87,10,7,10,DOBLE NEGRO,LOOKIN AT LUCKY,ABUELA OCA,527,MAURICIO GALAZ,56,DANIEL CONTRERAS,3 3/4 cpos.,13,5.6
87,10,8,9,EL LEGENDARIO,MO TOWN,LOS KAROL'S,444,BENJAMIN SANCHO,56,CLAUDIO BERNAL,4 1/2 cpos.,13,25.7
87,10,9,2,MI TIO POLO,SUMERIO,EL GANCHITO,467,CARLOS ORTEGA,57,ENRIQUE CARREÑO,4 1/2 cpos.,14,5.2
87,10,10,11,CHICA DEL LUCERO,STAR DABBLER,EL VEINTITRES,429,NICOLAS MOLINA,55,CLAUDIO BERNAL,6 cpos.,12,60.9
