Fecha,Carrera,Hora,Distancia,Numero,Caballo,Padrillo,Peso,Jinete,Preparador,Ultimos_Resultados,DSC,Probable,Pronostico_Ranking
27/12/2025,11,15:57,1200m,2,Payback,Van Nistelrooy,59,Oscar Meneses,Leopoldo Parra G.,5-11-6-9-8,12,16.1,
27/12/2025,11,15:57,1200m,3,Piter Alfonso,Scat Royal,54,Miguel Gutiérrez,Claudio Bernal G.,4-13-7-5-11,7,13.5,
27/12/2025,11,15:57,1200m,4,Ciao Xena,International Star,55,Benjamin Sancho,Carlos Urbina H.,4-5-3-1-5,28,24.6,3
27/12/2025,11,15:57,1200m,5,Ahsoka,Newfoundland,53,Luis Silva,Julio Castillo D.,U-6-14-10-11,63,18.2,
27/12/2025,11,15:57,1200m,6,Papito Alfredo,Hold Me Back,54,Ignacio Valdivia,Pedro Diaz S.,2-6-4-5-4,7,14.7,
27/12/2025,11,15:57,1200m,7,Bruno El Terrible,Gemologist,54,Nicolás Ramirez,Juan C. Pichara J.,1-2-11-7-8,7,16.0,
27/12/2025,11,15:57,1200m,8,Okui,Imperia II,58,Luis Torres,Claudio Bernal G.,6-9-6-11-8,7,12.9,
27/12/2025,11,15:57,1200m,9,Caramel Frappe,The Lumber Guy,59,Jorge A. González,Carlos Urbina H.,1-7-1-10-1,14,35.5,2
27/12/2025,11,15:57,1200m,10,Gran Alaska,Patternrecognition,57,Alberto Vásquez,Maritza Pérez A.,9-1-6-7-9,7,18.3,4
27/12/2025,11,15:57,1200m,11,Badboy,Bad Daddy,54,David Sánchez,Ricardo Rojas S.,12-10-5-10-10,7,12.9,
27/12/2025,11,15:57,1200m,12,Consul Dorado,Malagacy,54,Jonathan Castillo,Oscar Donate S.,4-5-1-1-1,14,39.1,1
27/12/2025,11,15:57,1200m,13,Esterios,Boboman,56,Marco Morales,Alejandro Padovani E.,1-10-7-12-7,7,14.3,
