Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,4,3,Chinita Traviesa,Good Samaritan,5,454k,5½,54k,D. Carrasco.,Alejandro Padovani E.,Los Brujos,10.00
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,5,8,Famosa Luz,Midshipman,4,401k,5½,56k,W. León.,Genaro J. Covarrubias E.,Don Andres,15.90
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,6,7,Maxiwario,Viscount Nelson,7,472k,6,55k,R. Covarrubias.,Genaro J. Covarrubias E.,La Corina,11.40
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,7,14,Socio Manuel,Forward March,5,443k,6½,54k,N. Venegas.,Luis Machulas G.,Cayo,45.30
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,8,10,Amor De Chocolate,Awesome Patriot,4,411k,6¾,55k,R. Fuenzalida.,Eduardo Lab R.,Stud Mauro,23.50
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,9,1,Merengada,Competitive Edge,6,470k,7½,54k,S. González.,Mario A. Apablaza G.,Inefable,11.20
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,10,2,California Daddy,California Chrome,7,487k,8½,56k,J. Soto.,Rodrigo Pulgar A.,Galiano,33.90
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,11,9,Bungabunga,Gran Villano,5,497k,8¾,56k,D. D. Medina.,José Bravo M.,Matias Orlando,24.40
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,12,5,Miel Rubia,Newfoundland,3,452k,11,54k,J. González.,Juan C. Pichara J.,Cecilia Falconi,60.80
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,13,6,Top Model,Mo Town,5,435k,11¾,55k,F. Moreno.,José Venegas P.,Jose Venegas P.,18.70
27/12/2025,Hipódromo Chile,20,20:00,1000m,Handicap (Hd) 15 al 13,14,11,Elegant Katze,Good Samaritan,5,436k,12½,55k,J. Medina.,Claudio Bernal G.,Morat,7.80
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,1,1,Mountain Monarch,Sahara Spirit,3,491k,,54k,R. Painen.,Oscar Donate S.,Francisco Alexandra,8.60
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,2,6,Besa Kiss,Hinz,6,486k,1,54k,F. Moreno.,Harrison Adonis B.,Hansrieli,13.60
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,3,15,Loco Gandhi,Dylan Thomas,3,485k,3½,56k,A. Vásquez.,Rodrigo López B.,Morat,6.30
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,4,13,Tirrel,Ivan Denisovich,5,449k,3½,56k,I. Valdivia.,Pedro Diaz S.,Los Jeques,16.10
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,5,7,Royal Dublin,Katmai,4,500k,4¼,55k,R. Fuenzalida.,Aldo Castagneto U.,Claro,34.70
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,6,3,Lucia De Siracusa,Good Samaritan,5,441k,5½,54k,B. Troncoso.,Alejandro Padovani E.,Mameza,10.50
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,7,12,Ruletazo,Constitution,5,434k,6,55k,L. González.,Genaro J. Covarrubias E.,Pepe Elias,17.10
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,8,8,Blessed,Good Samaritan,5,436k,6¾,56k,H. Barrera.,Rodrigo Quiroz S.,C.V.D.,29.00
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,9,2,Stevens For Record,Viscount Nelson,5,414k,6¾,57k,G. Aros.,Mario A. Apablaza G.,Inefable,6.20
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,10,5,Persevera Siempre,Bernardini,8,480k,9,54k,L.D. Menghini.,Eugenio Switt V.,Carlos Cavieres,39.80
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,11,4,Vieja Chela,Boboman,7,506k,9¾,56k,P. Zúñiga.,Julio Castillo D.,Corral Hipico,25.50
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,12,9,Silene,Classic Empire,4,466k,10,57k,S. González.,Juan C. Pichara J.,El Mero Mero,2.60
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,13,14,Zodiakus,Exaggerator,4,503k,11¾,54k,F. Henríquez.,Manuel Norambuena Ch.,Primo Hermano,48.20
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,14,11,Apollonos,Cloud Computing,5,486k,16¼,55k,J. Herrera.,José Alvarez D.,El Molino,6.40
27/12/2025,Hipódromo Chile,21,20:30,1200m,Handicap (Hd) 19 al 16,U,10,Sunam,Mendelssohn,4,446k,23¼,56k,R. Avila.,Mario Covarrubias,Doña Ester,43.40
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,1,2,Platon,Grand Daddy,4,543k,,60k,V. Miranda.,Juan C. Pichara J.,Vasquez Retamales,5.60
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,2,12,Laburador,Goldencents,6,492k,1½,53k,J. Medina.,Isaac Michea F.,Bruno Alonso,5.20
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,3,15,Sawyer,Practical Joke,6,562k,1½,59k,R. Covarrubias.,Mario Covarrubias,Laly,17.50
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,4,13,Badero,Classic Empire,4,398k,2,54k,B. Troncoso.,Alejandro Padovani E.,Elephant,7.80
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,5,1,Luz Oculta,Mendelssohn,4,464k,2½,51k,W. León.,Mario Covarrubias,Quarter Dollar,11.90
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,6,7,Sea Of Gold,Goldencents,6,485k,3,54k,P. Zúñiga.,Rodrigo López B.,Bruce,45.40
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,7,3,Indian Pirate,Indian Trail,3,505k,3,51k,A. Vásquez.,Oscar Donate S.,Llego El Talento,3.30
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,8,6,Ventidue,Mendelssohn,4,433k,4¾,53k,J. Herrera.,Rodrigo Sánchez Q.,Bruno Alonso,5.60
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,9,11,Ke Pacquiao,International Star,4,462k,5,54k,J. Zúñiga.,Rodrigo Pulgar A.,Luis Benjamin,25.70
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,10,10,Jarum,Cupid,5,488k,5,58k,G. Aros.,Alejandro Padovani E.,Anita María,13.60
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,11,4,Guena Petete,Layman,4,466k,5,54k,C. C. Bustos.,Eduardo Lab R.,Los Reyes,45.10
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,12,9,Kino,Aragorn II,9,490k,6¼,60k,O. Meneses.,Ricardo Rojas S.,Camilo Osses,14.00
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,13,14,Negro Vlady,California One,5,489k,7,51k,H. Barrera.,Luis Urbina H.,Luis Urbina H.,40.20
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,14,5,Monchitocrack,Grand Daddy,7,500k,10¼,51k,D. Carrasco.,Juan C. Pichara J.,Vasquez Retamales,27.90
27/12/2025,Hipódromo Chile,22,21:00,1000m,Handicap (Hd) 42 al 31,U,8,Presente Cha,Constitution,5,458k,11½,60k,J. González.,Genaro J. Covarrubias E.,Quarter Dollar,39.20
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,1,15,Tordilla Divina,The Lumber Guy,4,493k,,57k,J. Medina.,Rodrigo Sánchez Q.,Haras Lizzie,3.00
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,2,13,Chino Matador,Viscount Nelson,6,422k,2½,56k,M. Gutiérrez.,Héctor Castillo S.,Ogun,10.50
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,3,6,Giorgio Di Capri,Sonoma Band,6,433k,2½,54k,A. Vásquez.,Maritza Pérez A.,Garage Jcs,11.00
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,4,1,Nob,Exaggerator,4,517k,2¾,54k,L. González.,Juan C. Pichara J.,Juan Jaque,20.30
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,5,5,Pachekin,Grand Daddy,4,517k,3¾,54k,J. Zúñiga.,Hernán Pacheco P.,Oxiper,11.40
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,6,9,Angeolina,International Star,4,490k,3¾,57k,V. Miranda.,Alejandro Padovani E.,Haras Mocito Guapo,10.70
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,7,12,Dakhar,Classic Empire,4,450k,5,54k,J. González.,Mario Covarrubias,Felipe Jesus,10.10
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,8,2,Grande Panchito,Good Samaritan,5,498k,5¼,57k,J. Castillo.,Ricardo Rojas S.,Pequeño Matias,9.20
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,9,4,El Joker,Grand Daddy,4,500k,6½,56k,B. Sancho.,Rodrigo Quiroz S.,Viva Chile,16.80
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,10,11,Seattle Snow,Dubai Sky,4,451k,8,56k,N. Ramirez.,Raúl Montesino S.,Forza Al Canut,5.50
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,11,3,Indian Tiger,Indian Trail,8,500k,8¾,54k,P. Zúñiga.,Julio Castillo D.,Corral Hipico,34.80
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,12,8,Jimbo,Newfoundland,3,454k,10¼,57k,M. Bustamante.,Juan C. Pichara J.,Cecilia Falconi,8.20
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,13,7,Tito Moro,Forever Thing,6,486k,11¾,55k,G. Givovich.,Claudio Bernal G.,Harasic,31.30
27/12/2025,Hipódromo Chile,23,21:30,1200m,Handicap (Hd) 22 al 19,14,10,Angela Clasica,Classic Empire,4,432k,13,56k,S. González.,Rodrigo Quiroz S.,Escobar Hnos.,18.70
