Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,8,11,La Cia,International Star,3,397k,6¼,55k,M. Gutiérrez.,Oscar Donate S.,Mario Andrés,7.40
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,9,2,Bad Romance,Newfoundland,3,382k,7¼,51k,C. C. Bustos.,Rafael Bernal G.,Don German,86.10
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,10,9,Antonia Francisca,Dubai Sky,3,390k,8¼,56k,J. Vera.,Rodrigo Quiroz S.,Arturo Y Cecilia,96.70
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,11,4,Hi Fly,Flyer,3,420k,8½,55k,N. Ramirez.,Hernán Pacheco P.,Grande Tio Kiko,4.10
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,12,7,La Universitaria,Bad Daddy,3,396k,10½,55k,L.D. Menghini.,Rodrigo Quiroz S.,Lucaraste,34.30
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,13,13,Como La Luna,Patternrecognition,3,492k,11,55k,W. León.,Daniel Contreras A.,Abuela Oca,36.70
27/12/2025,Hipódromo Chile,5,13:26,1000m,Condicional Hembras 3 años no ganadoras,U,1,Polly Gray,Ticket To Run,3,443k,39½,54k,J. Cueto.,Luis Machulas G.,El Mero Mero,147.40
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,1,4,Dabke,Spun to Run,3,455k,,55k,A. Vásquez.,Rodrigo López B.,Jaimito,2.70
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,2,2,La Instrumentista,Exaggerator,5,412k,2¼,56k,R. Avila.,Isaac Michea F.,Angelica Y Francisco,23.70
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,3,5,Rucco,Tourist,6,504k,3¼,55k,M. Morales.,Pedro Diaz S.,Los Jeques,12.50
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,4,11,El Gran Menotti,Hold Me Back,6,439k,4¼,55k,M. Gutiérrez.,Rodrigo Quiroz S.,Don Alamiro,6.50
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,5,7,El Guason,Imperia II,4,437k,6½,55k,B. Sancho.,Maritza Pérez A.,Chaparro De La B.,2.30
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,6,1,Pistola Velázquez,Hold Me Back,6,437k,6½,55k,H. Barrera.,Rodrigo Quiroz S.,Rodrigo Quiroz S.,13.80
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,7,10,Terrible Bruno,Ya Primo,3,445k,7¼,56k,V. Miranda.,Juan C. Pichara J.,Bruno Alonso,9.60
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,8,8,Nieto Español,Spun to Run,3,450k,12¼,56k,R. Fuenzalida.,Eduardo Lab R.,Cristian Manuel,29.50
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,9,12,Gold Escudero,Goldencents,6,459k,14½,55k,A. Covarrubias.,Julio Castillo D.,Corral Hipico,115.00
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,10,13,Vandu,Dubai Sky,4,413k,18,56k,P. Zúñiga.,Rodrigo Quiroz S.,Don Quijote,58.30
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,11,6,Hengroen,Dylan Thomas,4,465k,21¾,55k,R.S. Dores.,Luis Machulas G.,Tres M,16.10
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,12,9,La Finesse,Exaggerator,4,432k,23¼,56k,B. León.,Cristián Urbina R.,Morat,20.70
27/12/2025,Hipódromo Chile,6,13:51,1200m,Handicap (Hd) 12 al 11,U,3,Onda Radial,Omayad,3,434k,28¼,55k,W. León.,Jaime Espineira C.,La Reconquista,61.90
27/12/2025,Hipódromo Chile,7,14:16,1900m,Handicap (Hd) 11 al 3,1,1,El Forastero,Roman Ruler,8,470k,,51k,I. Valdivia.,Ricardo Rojas S.,Chamo Candela,4.50
