Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
7,16:16,SOLARIA,6,4,SORRISI,LOOKIN AT LUCKY,STUD DOÑA ELIANA,458,HECTOR BERRIOS,55,PATRICIO BAEZA A.,3 1/4 cpos.,19,4.8
7,16:16,SOLARIA,7,1,ESTRELLA DEL SOL,MENDELSSOHN (USA),STUD LA NONNA LTDA.,416,NICOLAS SANTIBAÑEZ,55,JULIO ORELLANA,3 1/2 cpos.,14,26.8
7,16:16,SOLARIA,8,2,SUPERAME,MENDELSSOHN (USA),STUD MARENGA,457,RODOLFO FUENZALIDA,56,PATRICIO BAEZA A.,4 1/2 cpos.,28,2.1
8,16:46,FARO CARRANZA,1,8,AMANDA PEPITA,EXAGGERATOR,LA TOSCANA,487,SEBASTIAN GONZALEZ,55,HERNAN ULLOA,Ganador,21,5.3
8,16:46,FARO CARRANZA,2,1,SALTO DEL GUAPO,GRAND DADDY,POR TI NEGRITA,467,FRANCISCO MORALES,60,SERGIO MORALES,4 1/2 cpos.,29,8.1
8,16:46,FARO CARRANZA,3,7,ONIX BLUE,LE BLUES,LOS CASTILLO,430,FRANCO SANCHEZ,58,SERGIO MORALES,6 3/4 cpos.,24,93.7
8,16:46,FARO CARRANZA,4,11,RIO AZOPARDO,CONSTITUTION,MAR Y SOL,503,NICOLAS MOLINA,56,CLAUDIO BERNAL,7 cpos.,22,11.1
8,16:46,FARO CARRANZA,5,13,DIVINA FE,SEEKING THE DIA,OJOTAEME,447,IGNACIO VALDIVIA,60,JOHN PINOCHET,8 1/2 cpos.,28,3.6
8,16:46,FARO CARRANZA,6,3,STATE OF GRACE,STATE OF PLAY,CHARITO,528,RODOLFO FUENZALIDA,58,CRISTOBAL GONZALEZ M.,9 cpos.,25,10.7
8,16:46,FARO CARRANZA,7,10,RADIANT ORQUIDEA,CONSTITUTION,MV JR.,453,WLADIMIR QUINTEROS,59,CARLOS GARCIA,9 3/4 cpos.,26,18.1
8,16:46,FARO CARRANZA,8,12,SONRISA DULCE,SEEKING THE DIA,NONO,471,PEDRO ROBLES,58,JOHN PINOCHET,10 3/4 cpos.,24,4.1
8,16:46,FARO CARRANZA,9,9,MISTERIO LUMINOSO,GRAND DADDY,UNIVERSO EQUINO,475,GERARD RODRIGUEZ,59,SERGIO MORALES,11 1/2 cpos.,27,6.5
8,16:46,FARO CARRANZA,10,5,HARRY GO,CUNCO (IRE),LOS LAURELES,483,RODRIGO PAINEN,54,JOHN PINOCHET,13 1/4 cpos.,20,16.2
8,16:46,FARO CARRANZA,11,6,EL ARRUGAO,DISTORTED ECONOMY,EL AROMO,460,VICTOR BRACETTI,56,HECTOR MANRIQUEZ,13 1/2 cpos.,22,31.5
8,16:46,FARO CARRANZA,12,14,SE PREPARO,SEEKING THE DIA,MARITA,509,JESUS TORO,54,ALDO PARRA D.,14 cpos.,20,26.5
8,16:46,FARO CARRANZA,13,4,EL CASTI,CLOUD COMPUTING,BARROS NEGROS,499,RODOLFO S. DORES,54,DOMINGO MATTE,17 3/4 cpos.,20,15
9,17:15,FUEGO CRUZADO,1,3,MAMITA PININA,DISTORTED ECONOMY,EL DUKE,427,FABIAN MEDINA,51,DANIEL CONTRERAS,Ganador,-,2.2
9,17:15,FUEGO CRUZADO,2,2,LUCA PRODAN,DYLAN THOMAS,CALLASIS FOR EVER,462,RONALD FOURNET,53,JUAN C. PICHARA,Cbza.,-,2.6
9,17:15,FUEGO CRUZADO,3,9,POWER MARINE,DISTORTED ECONOMY,MISTER LIMBO,448,BENJAMIN AYALA,55,CLAUDIO NAVARRO A.,pczo.,2,33.9
9,17:15,FUEGO CRUZADO,4,1,MOSASAURUS,DYLAN THOMAS,OLGUITA,390,MOISES A. DONOSO,57,OSCAR SILVA G.,pczo.,1,6.2
9,17:15,FUEGO CRUZADO,5,10,SUEÑO REALIDAD,EL MILAGRITO,PEÑA P. WALESKA,436,BASTIAN SOTO,57,WALESKA PEÑA,3 1/2 cpos.,1,8.5
9,17:15,FUEGO CRUZADO,6,5,VALDEMIRA BAY,EXAGGERATOR,MANUEL RUBIO (CONCE),490,WILBERT LEON,51,LUIS MACHULAS G.,5 1/4 cpos.,1,7.5
9,17:15,FUEGO CRUZADO,7,6,MARKINABIZKAIA,ANNUAL REPORT,CONTRERAS A DANIEL,451,ROBERTO AVILA,55,DANIEL CONTRERAS,8 3/4 cpos,4,16.7
