Carrera,Lugar,Partida,Caballo,Distancia (cuerpos),Jinete,Preparador,Dividendo
4,1º,4,CAMBIA EL SWITCH,Ganador,FABIAN MEDINA,JULIO ORELLANA,4.1
4,2º,3,LADY IN BLACK,"3/4 cpos.",JOAQUIN HERRERA,CARLOS RABY,86.3
4,3º,2,MALORY,"3 cpos.",JAIME MEDINA,PATRICIO BAEZA A.,1.9
4,4º,6,SEVEN WONDERS,"5 1/4 cpos.",ANYELO RIVERA,JULIO ORELLANA,5.8
4,5º,7,PRIVATE PARTY,"7 cpos.",OSCAR ULLOA,PATRICIO BAEZA A.,3.7
4,6º,5,BERNOULLI,"7 1/4 cpos.",IGNACIO VALDIVIA,CRISTIAN URBINA,24.2
4,7º,1,SIRENA SOLITARIA,"13 1/2 cpos.",HUGO OCHOA,ALDO PARRA D.,31.2
5,1º,5,GRAN PIOLA,Ganador,JESUS TORO,FRANCISCO PINOCHET,45.6
5,2º,11,GRAN SAMIR,"4 cpos.",SEBASTIAN GONZALEZ,WALESKA PEÑA,33.2
5,3º,2,PEDRINHO,"4 1/4 cpos",JORGE A. MORA,CLAUDIO NAVARRO A.,328.6
5,4º,10,ACLIS,"5 cpos.",JOSE VILLABLANCA,ROBERTO TOLEDO M.,820.1
5,5º,3,AKISI,"7 cpos.",MIGUEL GUTIERREZ,ANGEL JAQUE S.,37.1
5,6º,13,PITTIRANGA,"7 1/4 cpos.",AXEL ALVAREZ,GABRIEL MELEJ,411.8
5,7º,9,KING NICOLAS,"8 cpos.",GERARD RODRIGUEZ,MANUEL VELARDE,49.8
5,8º,4,LEYSKA,"9 1/2 cpos.",NICOLAS RAMIREZ,JOSE ARAYA B.,42.8
5,9º,6,MY CLAUDIA,"10 3/4 cpos.",BASTIAN SOTO,WALESKA PEÑA,251
5,10º,12,POWER MARINE,"13 3/4 cpos.",RODOLFO FUENZALIDA,CLAUDIO NAVARRO A.,471.1
5,11º,8,TANGO,"16 1/2 cpos.",MOISES A. DONOSO,OSCAR SILVA G.,417.4
5,12º,1,QUARTARELLA,"18 1/4 cpos.",RAFAEL CISTERNAS,RAUL MONTESINO,210.4
5,RT,7,KEBIRA,-,REINALDO LOYOLA,ANGEL JAQUE S.,-
6,1º,5,DOTADITA,Ganador,RODRIGO PAINEN,SERGIO MORALES,4.3
6,2º,13,KOBRICH,"1/2 Cbza.",JOAQUIN HERRERA,MARIO RABAJILLE D.,6.4
6,3º,7,RAPILLANA,"1 1/4 cpos.",JAIME MEDINA,RAUL MONTESINO,1.7
6,4º,6,TRANQUILA NIÑA,"3 1/2 cpos.",DARIEN CHEUQUE,ROBERTO TOLEDO M.,820.1
6,5º,4,KISS THE QUEEN,"3 1/2 cpos.",IGNACIO VALDIVIA,GUILLERMO AGUIRRE,14.6
6,6º,10,CHE AWAY,"4 3/4 cpos.",RODOLFO FUENZALIDA,PATRICIO BAEZA A.,4.6
6,7º,11,MI JARDIN,"6 3/4 cpos.",FABIAN MEDINA,FRANCISCO PINOCHET,24.8
6,8º,2,PASCUERA,"8 3/4 cpos",MOISES A. DONOSO,OSCAR SILVA G.,66.3
6,9º,3,MADAM SECRETARY,"11 cpos.",MIGUEL GUTIERREZ,CRISTOBAL GONZALEZ M.,218
6,10º,12,LIORA,"11 1/4 cpos.",RONALD FOURNET,JUAN RODRIGUEZ R.,170.4
6,11º,14,PAMPITA ALEGRE,"14 1/2 cpos.",NICOLAS MOLINA,FELIPE GONZALEZ S.,64.6
6,12º,9,DULCITA,"15 cpos.",RODRIGO COVARRUBIAS,SERGIO ALVARADO P.,166.2
6,13º,8,LISTO NO MAS,"21 3/4 cpos.",JORGE ZUÑIGA,OLIVERIO MARTINEZ,15.7
6,RT,1,YADA,-,N.N.,SERGIO ALVARADO P.,-
7,1º,4,LA CROSSE,Ganador,JORGE A. GONZALEZ,JULIO ORELLANA,252.2
7,2º,5,DE ESMERALDA,"1 1/2 cpos.",OSCAR ULLOA,PATRICIO BAEZA A.,264.2
7,3º,1,VELA AL VIENTO,"1 1/2 cpos.",SEBASTIAN GONZALEZ,JORGE A. INDA DE LA C.,1531.1
7,4º,3,LA DIGNATARIA,"2 cpos",JOAQUIN HERRERA,JUAN C. SILVA S.,131.8
7,5º,6,QUIET MOON,"5 1/2 cpos.",DAVID SANCHEZ,JORGE A. INDA DE LA C.,1515.6
7,6º,2,REINHA,"9 cpos.",JAIME MEDINA,PATRICIO BAEZA A.,158
8,1º,1,SIETE DE ABRIL,Ganador,IGNACIO VALDIVIA,RODRIGO SANCHEZ,215.4
8,2º,10,CARLITOS YUSTI,"pczo.",JORGE ZUÑIGA,OLIVERIO MARTINEZ,338.6
8,3º,13,STRAY KIDS,"1 3/4 cpos.",JAVIER I. GUAJARDO,ALDO PARRA D.,2812.5
8,4º,7,WEST PALM BEACH,"3 3/4 cpos.",JONATHAN A. CASTILLO,JOSE T. ALLENDE,244.5
8,5º,8,ONIX BLUE,"4 cpos.",RODRIGO PAINEN,SERGIO MORALES,2613.1
8,6º,3,JALISCO,"5 cpos.",PEDRO ROBLES,JOHN PINOCHET,289.4
8,7º,9,MY GREAT,"5 cpos.",JESUS TORO,ALDO PARRA D.,308.7
8,8º,6,RIO AZOPARDO,"6 1/2 cpos.",NICOLAS MOLINA,CLAUDIO BERNAL,2219.4
8,9º,5,GALWAY GIRL,"7 1/4 cpos.",HUGO OCHOA,RODRIGO SANCHEZ,306.8
8,10º,4,SINESIO,"10 1/4 cpos.",DARIEN CHEUQUE,FELIPE GONZALEZ S.,27127.6
8,11º,12,NALALA,"10 1/2 cpos.",JAIME MEDINA,RODRIGO SANCHEZ,263.5
8,12º,2,PLUMA DE MAR,"21 cpos.",JAIME A. MIÑO,CARLOS GARCIA,2451.6
8,13º,11,ME VOY DIDI,"22 cpos.",JOAQUIN HERRERA,ROBERTO TOLEDO M.,2430.8
9,1º,1,RUIDO DE CASCOS,Ganador,JOAQUIN HERRERA,GUILLERMO AGUIRRE,211.7
9,2º,11,PRIETO AZABACHE,"2 cpos",RODOLFO FUENZALIDA,ANDRES BERNAL,226.9
9,3º,3,RADIANT ORQUIDEA,"2 3/4 cpos.",WLADIMIR QUINTEROS,CARLOS GARCIA,2517.7
9,4º,9,MR MORRIS,"6 cpos.",GERARD RODRIGUEZ,HERNAN ULLOA,288
9,5º,5,MISTERIO LUMINOSO,"7 3/4 cpos.",JORGE A. GONZALEZ,SERGIO MORALES,284.7
9,6º,8,SOY DEL CICLON (ARG),"8 1/2 cpos.",OSCAR MENESES,JOSE ARAYA B.,28152.9
9,7º,4,SCALPING,"10 1/2 cpos.",NICOLAS MOLINA,CLAUDIO BERNAL,2718.3
9,8º,10,INDIAN POET,"11 1/2 cpos.",JAIME MEDINA,RAUL MONTESINO,284.2
9,9º,7,CI MANCHI FRATELO,"25 3/4 cpos.",JOSE PAREDES,JOSE ARAYA B.,2143.1
9,RT,6,CRISTALINO,-,N.N.,ALDO PARRA D.,-
9,RT,2,TENGO UN SUEÑO,-,FRANCISCO MORALES,RAUL MONTESINO,-
10,1º,4,EL DOCTORADO,Ganador,JORGE A. GONZALEZ,JULIO ORELLANA,434.7
