Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
6,9,7,SINESIO,GEMOLOGIST,MILNA,502,RODOLFO S. DORES,57,FELIPE GONZALEZ S.,14 1/2 cpos.,25,42.4
7,1,10,WUALALA,ZAWRAQ (IRE),STUD DE ARAUCO,442,RONALD FOURNET,54,JOSE ARAYA B.,Ganador,21,2.3
7,2,1,MONTES FRAILE,PALM SPRINGS (USA),LA MONITO,508,AGUSTIN VILLAGRA,54,JOSE T. ALLENDE,4 1/4 cpos,20,2.3
7,3,5,NO SE NA,THE LUMBER GUY,STUD HARAS LIZZIE,440,JOAQUIN HERRERA,54,JOSE M. ALVAREZ D.,7 cpos.,13,15.9
7,4,9,QUE BONITO QUE SOY,MENDELSSOHN (USA),TETITO IGNACIO,443,RODOLFO FUENZALIDA,54,SERGIO MORALES,8 1/4 cpos.,12,100.1
7,5,4,TEJEDOR DE SUEÑOS,STAR DABBLER,MILLAR M PATRICIO,507,PEDRO ROBLES,54,JOHN PINOCHET,9 1/4 cpos.,14,14.8
7,6,7,NEED TO FLY,FLYER,MAITENAL,446,JAIME MEDINA,58,PATRICIO BAEZA A.,10 cpos.,20,6.7
7,7,8,EL REY JULIAN,KHOZAN,ARTIGAS,416,FABIAN MEDINA,54,RODRIGO QUIROZ,10 cpos.,17,25.8
7,8,6,CANELO DORADO,FLAMEAWAY (CAN),CHARITO,454,MIGUEL GUTIERREZ,54,CRISTOBAL GONZALEZ M.,14 1/4 cpos.,13,33.6
7,9,2,VITRUVIUS,ROBERT BRUCE,ODISEA,503,SEBASTIAN GONZALEZ,54,JORGE A. INDA DE LA C.,14 1/2 cpos.,14,5.8
7,NT,3,VAMOS A BAILAR,PATTERNRECOGNITION,ALONMATE,522,GERARD RODRIGUEZ,54,MANUEL VELARDE,-,13,28.4
8,1,15,PIBE CANTINA,FLAMEAWAY (CAN),ATHENEA,431,BENJAMIN SANCHO,57,JOSE INDA DE LA C.,Ganador,14,1.9
8,2,1,EL COMEDIANTE,CUNCO (IRE),EL GANCHITO,449,RONALD FOURNET,53,ENRIQUE CARREÑO,1/2 cpo.,-,5.9
8,3,3,MI GIGANTE,GET JETS,JOSE T. ALLENDE F.,527,RODOLFO FUENZALIDA,57,JOSE T. ALLENDE,2 cpos,-,4.7
8,4,8,COCHEPE,GOOD SAMARITAN (USA),VELARDE B MANUEL A,509,NICOLAS RAMIREZ,57,MANUEL VELARDE,3 1/4 cpos.,-,4.6
8,5,12,QUE ILUSO,IVAN DENISOVICH,EL MERO MERO,445,MARCO A. BUSTAMANTE,57,JOSE ARAYA B.,4 3/4 cpos.,-,100.1
8,6,14,SLOVAK,PAPELON,MONIN,439,BASTIAN SOTO,57,FERNANDO SOLAR,7 1/4 cpos.,-,96.1
8,7,6,ALPAQUITAY,KINGLY (USA),EL RAUDAL,464,NELSON ROJAS,53,PATRICIO BAEZA A.,8 1/2 cpos.,-,7.4
8,8,7,EL SALVADOR,INTERNATIONAL STAR (USA),FLECHAS DORADAS,445,PIERO REYES P.,57,OLIVERIO MARTINEZ,9 1/2 cpos.,-,56.6
8,9,13,SIMONE BULL,FLAMEAWAY (CAN),SHOT MENZEL,435,SEBASTIAN GONZALEZ,57,JOSE ARAYA B.,16 cpos.,-,8.3
8,10,11,WILWITON,FALLEN FROM HEAVEN,CHOTOMORO,383,JOSE CUETO,56,FELIPE GONZALEZ S.,26 1/2 cpos.,-,309.2
8,11,5,LIAM,FLAMEAWAY (CAN),SHOT MENZEL,452,BERNARDO LEON,57,JUAN RODRIGUEZ R.,35 cpos.,-,49.3
8,12,9,LUIS FERNANDO,YA PRIMO,LOS PARDITOS,418,JAIME A. MIÑO,57,SERGIO ALVARADO P.,35 3/4 cpos.,-,81.1
8,RT,2,PARTNER QUERIDO,GET JETS,MASAIVA,-,GERARD RODRIGUEZ,57,CLAUDIO BERNAL,-,-,-
8,RT,4,MANO DE PIEDRA,INTERNATIONAL STAR (USA),KDM,-,RODRIGO PAINEN,57,JOHN PINOCHET,-,-,-
8,RT,10,TE ANDAN BUSCANDO,PALM SPRINGS (USA),DON SANTIAGO,-,AGUSTIN VILLAGRA,53,MIGUEL MEDINA,-,-,-
9,1,10,FREUD WISH,MR SPEAKER,JUANITO ELSITA,489,JOAQUIN HERRERA,53,CARLOS GARCIA,Ganador,25,7.8
9,2,1,SALTO DEL GUAPO,GRAND DADDY,POR TI NEGRITA,471,JORGE A. GONZALEZ,57,SERGIO MORALES,2 1/2 cpos.,29,3.2
9,3,9,DIVINA FE,SEEKING THE DIA,OJOTAEME,451,PEDRO ROBLES,55,JOHN PINOCHET,2 3/4 cpos.,27,6.2
9,4,7,SCALPING,GOOD SAMARITAN (USA),EL VEINTITRES,447,BENJAMIN SANCHO,56,CLAUDIO BERNAL,6 3/4 cpos.,28,12.5
9,5,3,MALANDRO,MENDELSSOHN (USA),CARNES OLY,435,BENJAMIN TRONCOSO,55,ALEJANDRO PADOVANI E.,7 1/4 cpos.,27,5.9
9,6,4,INDIAN POET,CONSTITUTION,BRUNO ALONSO,519,JAIME MEDINA,55,RAUL MONTESINO,10 3/4 cpos.,27,3.2
9,7,5,DESENFRENADO,PRACTICAL JOKE,POR TI NEGRITA,513,LESLY C. GONZALEZ,55,FELIPE GONZALEZ S.,12 1/2 cpos.,27,15.6
9,8,2,STORM TIGER,EXAGGERATOR,CHOLITO,480,RODOLFO S. DORES,55,ALVARO FERNANDEZ,13 3/4 cpos.,27,13.3
9,9,8,PELAMBRE,PRACTICAL JOKE,BRUNO ALONSO,535,AXEL ALVAREZ,57,RODRIGO SANCHEZ,15 1/2 cpos.,31,10.6
9,10,6,PECADO INCONFESABLE (ARG),REMOTE (GB),MV JR.,428,JAIME A. MIÑO,57,CARLOS GARCIA,16 cpos.,29,24.5
10,1,7,PRIMER VALS,MIDSHIPMAN,STUD DOÑA ELIANA,489,JOAQUIN HERRERA,55,JULIO ORELLANA,Ganador,43,7.2
