Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador
11,20:00,FLAÑO,1100,,9,MOOLOOMBA,56,J.P. Torres,E. González
11,20:00,FLAÑO,1100,,10,ALASHDI,56,L. Rojas,C. Córdova
11,20:00,FLAÑO,1100,,11,REINA FILETE,56,B. Díaz,R. Vásquez
12,20:30,FLORES SILVESTRES,1100,,1,EL TATUADO,57,J.P. Torres,J. Espinosa
12,20:30,FLORES SILVESTRES,1100,,2,ANDIAMO BAMBINO,56,I.A. Inostroza,C. Córdova
12,20:30,FLORES SILVESTRES,1100,,3,HUICHAMILLA,57,L. Rojas,C. Córdova
12,20:30,FLORES SILVESTRES,1100,,4,ASTROAZURRO,56,M. Urzúa,E. Alarcón
12,20:30,FLORES SILVESTRES,1100,,5,STORMY DUBAI,56,B. Cordero,F. Acevedo
12,20:30,FLORES SILVESTRES,1100,,6,SURICATA,57,C.A. Rojas,R. Vásquez
12,20:30,FLORES SILVESTRES,1100,,7,THE REAL FAFA,55,C. Cordero,J. Amaya
12,20:30,FLORES SILVESTRES,1100,,8,GOOD VICTORY,56,A. Pereda,C. Norambuena
12,20:30,FLORES SILVESTRES,1100,,9,HAPPY GO LUCKY,56,C. Pavez,A. Navarrete
12,20:30,FLORES SILVESTRES,1100,,10,BUMPY,57,G. Vera,N. Norambuena
12,20:30,FLORES SILVESTRES,1100,,11,TRIUQUIÑO,56,B. Díaz,F. Acevedo
12,20:30,FLORES SILVESTRES,1100,,12,PUMARA,55,V. Mardones,A. Cea
