Carrera,Hora,Distancia,Superficie,Condicion,Numero,Caballo,Jinete,Peso
16,19:50,1400m,Arena,Handicap Indice 19 al 14,8,SIN PREJUICIOS,NICOLAS MOLINA,55
16,19:50,1400m,Arena,Handicap Indice 19 al 14,9,DON'T CRY DADDY,GIVOVICH GEORGEE,53
16,19:50,1400m,Arena,Handicap Indice 19 al 14,10,FLIGHT OF ICARUS,FELIPE HENRIQUEZ,54
16,19:50,1400m,Arena,Handicap Indice 19 al 14,11,PATMAHO,BASTIAN SOTO,53
16,19:50,1400m,Arena,Handicap Indice 19 al 14,12,IMANOL,NICOLAS RAMIREZ,58
16,19:50,1400m,Arena,Handicap Indice 19 al 14,13,CUARTO C,KEVIN ESPINA,57
16,19:50,1400m,Arena,Handicap Indice 19 al 14,14,MR CASPER,ALVARO APABLAZA,56
16,19:50,1400m,Arena,Handicap Indice 19 al 14,15,DOCTORA MILAGRO,NELSON ROJAS,53
17,20:25,1400m,Arena,Handicap Indice 8 al 2,1,JAVIVALETU,VICTOR MIRANDA,53
17,20:25,1400m,Arena,Handicap Indice 8 al 2,2,CONOCIENDOTE,BASTIAN SOTO,56
17,20:25,1400m,Arena,Handicap Indice 8 al 2,3,QUIEN ME PILLO,FELIPE HENRIQUEZ,57
17,20:25,1400m,Arena,Handicap Indice 8 al 2,4,BEL FIOR,RODRIGO PAINEN,56
17,20:25,1400m,Arena,Handicap Indice 8 al 2,5,EL FELICIDAD,DAVID SANCHEZ,58
17,20:25,1400m,Arena,Handicap Indice 8 al 2,6,BEHIND THE SUN,RODOLFO FUENZALIDA,57
17,20:25,1400m,Arena,Handicap Indice 8 al 2,7,MUY SOLO AQUI,NICOLAS MOLINA,54
17,20:25,1400m,Arena,Handicap Indice 8 al 2,8,EL BIGOTE,NICOLAS RAMIREZ,56
17,20:25,1400m,Arena,Handicap Indice 8 al 2,9,HAMM GOOD,JOHAN GONZALEZ,54
17,20:25,1400m,Arena,Handicap Indice 8 al 2,10,ANTIOCO,MARCO MORALES,55
17,20:25,1400m,Arena,Handicap Indice 8 al 2,11,PESO DORADO,WILBERT LEON,54
17,20:25,1400m,Arena,Handicap Indice 8 al 2,12,GRAND CASABLANCA,JESUS PIMENTEL,58
17,20:25,1400m,Arena,Handicap Indice 8 al 2,13,EN CAPILLA,BENJAMIN SANCHO,57
18,21:00,1400m,Arena,Handicap Indice 13 al 9,1,SASSI,BENJAMIN TRONCOSO,53
18,21:00,1400m,Arena,Handicap Indice 13 al 9,2,RUSTY,GONZALO ULLOA,56
18,21:00,1400m,Arena,Handicap Indice 13 al 9,3,GENESIS,BASTIAN SOTO,56
18,21:00,1400m,Arena,Handicap Indice 13 al 9,4,MR YO,MIGUEL GUTIERREZ,56
18,21:00,1400m,Arena,Handicap Indice 13 al 9,5,EL NANY,PEDRO ROBLES,57
18,21:00,1400m,Arena,Handicap Indice 13 al 9,6,GRAN PIOLA,SEBASTIAN GONZALEZ,57
18,21:00,1400m,Arena,Handicap Indice 13 al 9,7,FUEGO Y HIERRO,VICTOR MIRANDA,53
18,21:00,1400m,Arena,Handicap Indice 13 al 9,8,KILIMANJARO (ARG),NICOLAS RAMIREZ,55
18,21:00,1400m,Arena,Handicap Indice 13 al 9,9,SWEET CHILD,BENJAMIN SANCHO,55
18,21:00,1400m,Arena,Handicap Indice 13 al 9,10,KORPER,NICOLAS MOLINA,55
18,21:00,1400m,Arena,Handicap Indice 13 al 9,11,NAMRUD TIGER,RAFAEL CISTERNAS,53
18,21:00,1400m,Arena,Handicap Indice 13 al 9,12,GRAN KURU,LESLY C. GONZALEZ,57
18,21:00,1400m,Arena,Handicap Indice 13 al 9,13,CONDESSA LAK,RODRIGO PAINEN,56
