Warning: No position column in exports/RESULTADO_VAL2026-01-11..csv

## Club Hípico de Santiago
|   Lugar | Jinete               |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|      65 | K. Espina      |                  0 |          0 |          0 |             0    |
|      66 | L. Rivera      |                  0 |          0 |          0 |             0    |
|      67 | L. Torres      |                  0 |          0 |          0 |             0    |
|      68 | L.D. Menghini  |                  0 |          0 |          0 |             0    |
|      69 | M. Galáz       |                  0 |          0 |          0 |             0    |
|      70 | N. Molina      |                  0 |          0 |          0 |             0    |
|      71 | O. Meneses     |                  0 |          0 |          0 |             0    |
|      72 | P. Galáz       |                  0 |          0 |          0 |             0    |
|      73 | P. Reyes       |                  0 |          0 |          0 |             0    |
|      74 | R. Araya       |                  0 |          0 |          0 |             0    |
|      75 | R. Covarrubias |                  0 |          0 |          0 |             0    |
|      76 | R. Fournet     |                  0 |          0 |          0 |             0    |
|      77 | R. Fuenzalida  |                  0 |          0 |          0 |             0    |
|      78 | R. Solorza     |                  0 |          0 |          0 |             0    |
|      79 | R. Varas       |                  0 |          0 |          0 |             0    |
|      80 | R.S. Dores     |                  0 |          0 |          0 |             0    |
|      81 | S. Muñoz       |                  0 |          0 |          0 |             0    |
|      82 | T. Seith       |                  0 |          0 |          0 |             0    |
|      83 | W. Quinteros   |                  0 |          0 |          0 |             0    |

## Valparaíso Sporting
|   Lugar | Jinete                |   Carreras Ganadas |   Segundos |   Terceros |   Eficiencia (%) |
|--------:|:----------------------|-------------------:|-----------:|-----------:|-----------------:|
|       1 | Joaquin Herrera       |                  5 |          3 |          0 |            38.46 |
|       2 | Gerard Rodriguez      |                  3 |          0 |          2 |            33.33 |
|       3 | Jose Eyzaguirre       |                  3 |          0 |          0 |            30    |
|       4 | Sebastian E. Gonzalez |                  2 |          2 |          2 |            11.76 |
|       5 | Felipe Tapia          |                  2 |          1 |          0 |            18.18 |
|       6 | Miguel Gutierrez      |                  2 |          1 |          0 |            22.22 |
|       7 | Benjamin Troncoso     |                  2 |          0 |          0 |            33.33 |
|       8 | Carlos E. Urbina      |                  2 |          0 |          0 |            15.38 |
|       9 | Carlos Ortega         |                  1 |          3 |          4 |             6.67 |
|      10 | Piero Reyes           |                  1 |          2 |          1 |            10    |
|      11 | Moises A. Donoso      |                  1 |          0 |          2 |            12.5  |
|      12 | Rodolfo Fuenzalida    |                  1 |          0 |          2 |             9.09 |
|      13 | Gonzalo Ulloa         |                  1 |          0 |          1 |            25    |
|      14 | Israel Villagran      |                  1 |          0 |          1 |            16.67 |
|      15 | Alvaro Apablaza       |                  1 |          0 |          0 |            25    |
|      16 | Gustavo Aros          |                  1 |          0 |          0 |            50    |
|      17 | Jaime Miño            |                  1 |          0 |          0 |            50    |
|      18 | Wladimir Quinteros    |                  1 |          0 |          0 |            25    |
|      19 | Benjamin Sancho       |                  0 |          6 |          2 |             0    |
|      20 | Rafael Cisternas      |                  0 |          2 |          1 |             0    |
